HR_clean,RA_deg,DEC_deg,Vmag
124,250.72402056,38.92225677,3.4820498967170717
125,169.61973721,33.09430465,3.4829000067710876
126,299.68928618,19.49214977,3.4964599919319155
127,342.42007037,66.20040964,3.5006600761413575
128,342.50080903,24.60157698,3.5069800853729247
129,149.21558969,-54.56779331,3.5088200044631956
130,284.43250499,-21.10665345,3.509459927082062
131,145.28764248,9.89230752,3.513670041561127
132,214.85091498,-46.05809697,3.5174600005149843
133,124.12883577,9.1855446,3.522810025215149
134,55.81208985,-9.76339431,3.525519998073578
135,264.39667267,-15.39855661,3.526539981365204
136,83.7844872,9.93415437,3.5272700691223147
137,253.0839355,-38.01753493,3.528249888420105
138,67.1541614,19.18043252,3.528979971408844
139,34.12744736,-51.51216991,3.5299899864196775
140,173.25048333,-31.857625,3.534349966049194
141,302.18170173,-66.18206983,3.538599946498871
142,4.85697636,-8.82392118,3.545030038356781
143,130.07327092,-52.92191154,3.5605700850486754
144,109.52324564,16.54038384,3.5629400420188904
145,230.45154242,-36.26137509,3.5637600946426393
146,116.11187744,24.39799681,3.564889919757843
147,79.40162482,-6.84440489,3.566619997024536
148,217.95745423,30.37143819,3.569870023727417
149,262.77461993,-60.68384975,3.571999955177307
150,24.49815065,48.6282122,3.5814800906181334
151,185.34003799,-60.40114907,3.5833399653434754
152,42.49597556,27.26050911,3.5880900025367737
153,266.43327575,-64.72387503,3.588269979953766
154,103.19724379,33.96125471,3.5936600255966185
155,177.67382586,1.76471731,3.5943699193000795
156,234.25604314,-28.13507606,3.6007800006866457
157,152.64698251,-12.35405115,3.601250021457672
158,57.29059475,24.05341343,3.6085600805282594
159,195.56771577,-71.54885423,3.610090045928955
160,22.87087592,15.34582789,3.610299882888794
161,51.20332798,9.02887505,3.613559899330139
162,253.64585971,-42.36131128,3.6150499200820922
163,176.40176103,-66.72876145,3.6211700081825255
164,116.31373632,-37.96858216,3.6225800061225892
165,282.51997683,33.36266874,3.6264100527763365
166,142.67486821,-40.46674196,3.626520087718964
167,309.38723308,14.59511021,3.634250054359436
168,231.95721428,29.10569774,3.643379924297333
169,313.70251081,-58.45415412,3.644170138835907
170,236.5468981,15.42181924,3.644540128707886
171,271.65780026,-50.09148467,3.6448099875450133
172,64.9483497,15.6276446,3.6478499794006347
173,130.89807119,-33.18638549,3.6483700489997863
174,72.80151656,5.60510315,3.65420001745224
175,176.51255662,47.77940553,3.6911900639533997
176,269.44119603,29.24787829,3.6981498837471007
177,237.70402752,4.47773211,3.698609986305237
178,118.05431952,-40.57578007,3.7024400138854983
179,349.29140639,3.28228654,3.703770124912262
180,316.23276236,43.92785195,3.7045901250839233
181,28.98944698,-51.60887338,3.7110601115226745
182,221.56218328,1.89288176,3.7156400847435
183,298.82830106,6.40676319,3.7186199116706846
184,53.23268481,-9.458263,3.721119863986969
185,89.88179951,54.28467265,3.7260700345039366
186,268.38220999,56.8726474,3.7269999384880066
187,27.86513636,-10.33504177,3.7307600951194764
188,266.97316954,2.70727672,3.7323199844360353
189,318.69775875,38.04538156,3.737660012245178
190,136.03867203,-47.09773947,3.739560112953186
191,49.87917285,-21.75786579,3.741070077419281
192,107.18693308,-70.49892452,3.752629888057709
193,286.1707572,-21.7414935,3.753540081977844
194,311.91896774,-9.49577641,3.757009882926941
195,65.73371968,17.54251527,3.758119876384735
196,292.42649498,51.72978175,3.760240113735199
197,42.67421136,55.8954932,3.762269892692566
198,146.31172215,-62.50790124,3.7625299763679503
199,252.44648214,-59.04137698,3.762979919910431
200,126.43414912,-66.1368911,3.7661199164390564
201,75.61953354,41.07583522,3.766680006980896
202,331.75277679,25.34511025,3.767060008049011
203,56.298463,42.57855004,3.7712399649620054
204,87.83040013,-20.87908925,3.7766699624061584
205,264.86618548,46.00632921,3.7793800044059753
206,111.43164963,27.79808119,3.780180015563965
207,289.27570408,53.36845789,3.7855400538444517
208,163.37356391,-58.85317313,3.7857899475097656
209,47.37406045,44.85753454,3.786489944458008
210,209.5677746,-42.10075401,3.788620047569275
211,163.32793148,34.21487888,3.7938499808311463
212,303.40794312,46.74133072,3.8029998922348023
213,68.88766298,-30.56233717,3.8077400064468385
214,133.76180187,-60.64461452,3.8113600540161134
215,221.96545209,-79.04475077,3.8120299100875856
216,172.85091634,69.33107562,3.8127600002288817
217,130.15654223,-46.6487452,3.814120125770569
218,296.8469495,18.53428307,3.815060112476349
219,188.11673226,-72.13298676,3.8186698889732362
220,156.96971516,-58.73940351,3.818750066757202
221,158.20279801,9.306586,3.8213000011444094
222,83.40633428,-62.48982734,3.822350022792816
223,156.52260728,-16.83628952,3.8242598938941956
